# Thai Translation File for LongYinLiZhiZhuan
# Format: Chinese,Thai

# เมนูหลัก
开始游戏，เริ่มเกม
继续游戏，เล่นต่อ
继续,เล่นต่อ
成为掌门后，可以在京城皇宫获取御赐勋阶。,เมื่อเป็นเจ้าสำนักแล้ว สามารถรับตำแหน่งจากพระราชวังได้
在官府获取官职后，便可以替朝廷效力。,เมื่อรับตำแหน่งในสำนักงานแล้ว สามารถช่วยเหลือราชวงศ์ได้
野外有时会出现强力恶贼，\n此时应绕道而行，以免遭到袭击。,ในพื้นที่โล่งมีผู้กระทำผิดอาจปรากฏขึ้น \nควรหลีกเลี่ยงเพื่อหลีกเลี่ยงการโจมตี
探索起始时，偶尔会察觉到高人气息。\n此时若仔细搜寻，定会有意外收获。,เมื่อเริ่มต้นการสำรวจ อาจรู้สึกถึงพลังของผู้ทรงคุณธรรม \nหากส่องหาอย่างละเอียด จะพบสิ่งที่ไม่คาดคิด
秘籍品质越高，阅读中越容易出现较好的方格。,คุณภาพของตำราที่สูงขึ้น จะทำให้โอกาสในการพบช่องดีมากขึ้นขณะอ่าน
放在藏经阁内的秘籍会根据品质，\n提升全门派修习该武学的速度。,ตำราที่วางไว้ในห้องสมุดจะช่วยเพิ่มความเร็วในการฝึกฝนของสำนัก
好感达到50后可以成为朋友。,เมื่อความรักถึง 50 จะสามารถเป็นเพื่อนได้
好感达到100后，可以让关系更进一步。,เมื่อความรักถึง 100 จะสามารถพัฒนาความสัมพันธ์ให้ลึกซึ้งขึ้นได้
恶名过高时进入城镇，\n很可能会被官府或城内侠士抓捕。,เมื่อมีชื่อเสียงที่แย่มากจะเข้าเมือง \nอาจถูกจับกุมโดยหน่วยงานรัฐหรือ侠士ในเมือง
行囊超重会减慢你的大地图旅行速度。,กระเป๋าเดินทางที่หนักเกินไปจะทำให้ความเร็วในการเดินทางบนแผนที่ใหญ่ลดลง
穿着过于沉重的装备会减慢你的战斗速度。,สวมใส่อุปกรณ์ที่หนักเกินไปจะทำให้ความเร็วในการต่อสู้ลดลง
在编纂秘籍时，\n你可以将两本低品质秘籍合成一本高品质秘籍。,เมื่อรวบรวมตำราแล้ว \nคุณสามารถรวมตำราสองเล่มที่มีคุณภาพต่ำเพื่อสร้างตำราที่มีคุณภาพสูงขึ้นได้
与对方的性格越接近，好感提升越快。,เมื่อความรักถึง 50 จะสามารถเป็นเพื่อนได้
与对方的立场越接近，初始好感越高。,เมื่อความรักถึง 100 จะสามารถพัฒนาความสัมพันธ์ให้ลึกซึ้งขึ้นได้
较高的恶名会降低好感获取，\n其他侠士在野外遭遇时也会避而远之。,ชื่อเสียงที่แย่มากจะลดการได้รับความรัก \nและ侠士คนอื่นๆในพื้นที่โล่งก็จะหลีกเลี่ยงท่านด้วย
袭击同门或亲朋好友，\n会导致恶名成倍增加。,การโจมตีเพื่อนร่วมสำนักหรือเพื่อนสนิท \nจะทำให้ชื่อเสียงแย่เพิ่มขึ้นเป็นสองเท่า
恶名每个月会自动衰减10%，\n投案自首时也会减少10%。,ชื่อเสียงที่แย่จะลดลงอัตโนมัติ 10% ทุกเดือน \nและจะลดลง 10% เมื่อเข้ามอบตัว
在城镇或安全区内行凶作恶，\n会导致恶名成倍增加。,การก่ออาชญากรรมในเมืองหรือพื้นที่ปลอดภัย \nจะทำให้ชื่อเสียงแย่เพิ่มขึ้นเป็นสองเท่า
探索耐力耗尽后，\n每走一步都会消耗越来越多生命/内力。,เมื่อความอดทนในการสำรวจหมดลง \nทุกก้าวที่เดินจะทำให้สูญเสียพลังชีวิต/พลังภายในมากขึ้นเรื่อยๆ
战斗中某项伤势较高时，\n会获得针对该伤势的临时抗性。,เมื่อมีบาดแผลที่รุนแรงในระหว่างการต่อสู้ \nจะได้รับความต้านทานชั่วคราวต่อบาดแผลนั้น
战斗中一名角色败退时，\n其所控制的机关兽也都会败退。,เมื่อมีตัวละครหนึ่งตัวพ่ายแพ้ในระหว่างการต่อสู้ \nสัตว์ประหลาดที่ควบคุมโดยตัวละครนั้นก็จะพ่ายแพ้ด้วย
在西域灵州的莫高窟中，\n可闭关遗忘已有的零级武学或天赋。,ในถ้ำโมโกวที่ลิงโจวในดินแดนตะวันตก \nสามารถปิดการฝึกฝนเพื่อทำให้ลืมทักษะระดับศูนย์หรือพรสวรรค์ที่มีอยู่ได้
外功武学的突破效果，\n只有在使用该武学时才会生效。,ผลของการทะลุผ่านทักษะภายนอกจะมีผลก็ต่อเมื่อใช้ทักษะนั้นเท่านั้น
京城的私宅因为等级最高，\n价格自然也最贵。,บ้านส่วนตัวในกรุงเป่ยจิงมีระดับสูงสุด ดังนั้นราคาก็แพงที่สุดเช่นกัน
战场局势瞬息万变，\n对付实力较弱者也不可掉以轻心。,สถานการณ์ในสนามรบเปลี่ยนแปลงอย่างรวดเร็ว \nแม้จะรับมือกับผู้ที่อ่อนแอกว่า ก็ไม่ควรประมาท
侧面攻击提升5%伤害及命中，\n背后攻击则提升10%。,การโจมตีจากด้านข้างจะเพิ่มความเสียหายและความแม่นยำ 5% \nการโจมตีจากด้านหลังจะเพิ่มขึ้น 10%
行走江湖不能一味单打独斗，\n多与其他侠士组队同行，方为万全之法。,การเดินทางในโลกแห่งความเป็นนักสู้ไม่ควรทำแบบเดียว ควรทำงานร่วมกับนักสู้คนอื่นๆ เพื่อความปลอดภัย
行走江湖不能一味单打独斗，\n多与其他侠士组队同行，方为万全之法。,การเดินทางในโลกแห่งความเป็นนักสู้ไม่ควรทำแบบเดียว ควรทำงานร่วมกับนักสู้คนอื่นๆ เพื่อความปลอดภัย
行走江湖不能一味单打独斗，\n多与其他侠士组队同行，方为万全之法。,การเดินทางในโลกแห่งความเป็นนักสู้ไม่ควรทำแบบเดียว ควรทำงานร่วมกับนักสู้คนอื่นๆ เพื่อความปลอดภัย


早期测试版\n不代表游戏最终品质,เวอร์ชันทดสอบในช่วงแรก \nไม่ได้เป็นตัวแทนของคุณภาพสุดท้ายของเกม
更新日志,บันทึกการอัปเดต
人员名册,รายชื่อพนักงาน


# ============================================
# BUILDING
# ============================================

正厅,ห้องโถงหลัก
藏经阁,หอตำรา
练武场,ลานฝึก
闭关室,ห้องลับฝึกวิชา
祠堂,ศาลบรรพชน
工匠坊,ห้องช่าง
炼丹炉,เตาหลอมยา
疗伤室,ห้องรักษาตัว
宿舍,โรงนอน
仓库,คลังสินค้า
钱庄,โรงรับฝากเงิน
农田,ทุ่งนา
森林,ป่า
矿场,เหมือง
药园,สวนยา
官府,สำนักงาน
集市,ตลาด
客栈,โรงแรม
告示,ประกาศ
岗哨,จุดสังเกต
分舵,สาขา
驿站,สถานีขนส่ง
武馆,โรงฝึก
医馆,โรงหมอ
珍宝铺,ร้านของสะสม
兵器铺,ร้านอาวุธ
材料铺,ร้านวัสดุ
民宅,บ้านประชาชน
驻所,สถานที่ตั้ง
园林,สวน
摊贩,ร้านแผงลอย
磨坊,โรงโม่
木匠,ช่างไม้
石坊,ช่างหิน
药房,ร้านยา
客房,ห้องพัก
仓房,โรงเก็บของ
校场,สนามฝึก
静室,ห้องสงบ
酒馆,ร้านเหล้า
私塾,โรงเรียนส่วนตัว
工棚,โรงเรียนช่าง
皇宫,พระราชวัง
大运河,แม่น้ำใหญ่
甘棠港,ท่าเรือกันตัง
崇圣寺,วิหารซ่งเซิง
长城,กำแพงเมืองจีน
晋祠,วิหารจิน
都江堰,ท่อระบายน้ำตู่เจียง
莫高窟,ถ้ำโมโกว
黄鹤楼,หอหวังเหว่ย
烟花柳巷,ถนนไฟฟ้า
布达拉宫,พระราชวังบูต้าลา
销金窟,ถ้ำทองคำ
暗室,ห้องมืด
万花谷,עמקดอกไม้
大会台,เวทีประชุม
赛马场,สนามแข่งม้า
华阳洞,ถ้ำฮัวหยาง
剑池,ถ้ำดาบ
万毒池,ถ้ำพิษ
鬼门关,ประตูผี
星辰楼,หอดาว
铜人阵,แนวคนทอง
紫霄宫,พระราชวังซีเซียว
试刀台,เวทีทดสอบดาบ
蓬莱阁,หอพงลา
金顶,ยอดเขางอไบ๊
七十二洞,ถ้ำเจ็ดสิบสอง
机关坊,ห้องเครื่องจักร
火炼室,ห้องหลอมไฟ
灵塔殿,ห้องปราสาทจิตวิญญาณ
玄冰池,อ่างน้ำแข็ง
私宅,บ้านส่วนตัว
应天书院,โรงเรียนอิงเต๋าน
河套马场,สนามม้าเฮ่ต้า
离开,ออกจากสถานที่
建筑,สิ่งปลูกสร้าง


# ============================================
# NPC
# ============================================
江湖<color=#FF8C06>名家</color>,<color=#FF8C06>ผู้มีชื่อเสียง</color>ของยุทธภพ
司马德源,ซือม่าเต๋อหยวน
白云天,ไป๋อวิ๋นเทียน
白云子,นักพรตน้อยเมฆขาว
李潇湘,หลี่เสี่ยวเซียง
郑本莽,เจิ้งเบนหมาง
东门简画,ตงเหมินเจี้ยนหัว
谷实,กู่สือ
皮枪葛,ผิวฉางเก๋อ
唐逸影,ถังอี้อิง
唐嫣然,ถังเยียนราน
九天鬼手,เก้าสวรรค์มือปีศาจ

# ============================================
# SETTINGS
# ============================================

语言,ภาษา
全屏,เต็มจอ
总音量,ระดับเสียงทั้งหมด
音乐音量,ระดับเสียงดนตรี
快速对话,การสนทนาอย่างรวดเร็ว
跳过教程,ข้ามบทเรียน
分辨率,ความละเอียด
战斗视角跟随,มุมมองการต่อสู้ตาม
自动存档,บันทึกอัตโนมัติ
音效音量,ระดับเสียงเอฟเฟกต์
关闭,ปิด
战斗屏幕震动,การสั่นของหน้าจอขณะต่อสู้

#白云天
什么是江湖？为啥要叫江湖？\n难道那些大侠都是鱼虾转世，喜欢游泳不成......,เจียงหูคืออะไร? ทำไมต้องเรียกว่าเจียงหูด้วย? \nหรือว่าพวกจอมยุทธ์เหล่านั้นเป็นปลาหรือกุ้งกลับชาติมาเกิด เลยชอบว่ายน้ำกันล่ะเนี่ย...
听师傅说，出招之法在于随心所欲，无拘无束。\n若能一呼一吸，收发自然，便也算小半个高手了吧。,จากที่อาจารย์บอก วิธีการออกท่าทางขึ้นอยู่กับความรู้สึกของตัวเอง ไม่ต้องยึดติดกับอะไร \nถ้าสามารถควบคุมการหายใจได้อย่างเป็นธรรมชาติ ก็ถือว่าเป็นยอดฝีมือระดับหนึ่งแล้วล่ะมั้ง...
师傅他总念叨着什么佛家、道家、儒家之争，也不知有什么好争的。\n大不了开个比武擂台，大家一较高下不就行了。,อาจารย์ของข้าชอบพูดถึงเรื่องการต่อสู้ระหว่างพุทธศาสนา เต๋า และขงจื๊อ ไม่รู้ว่ามีอะไรดีๆให้ทะเลาะกันบ้าง \nไม่ก็เปิดเวทีประลองยุทธ์ให้ทุกคนได้แข่งกันไปเลยสิ...
峨眉山中有个老猴王，天天撒泼捣乱，破坏田地，\n实在是本姑娘一生之大敌！,ในภูเขาเอ๋อเหมยมีลิงแก่ตัวหนึ่ง วันๆชอบก่อเรื่องวุ่นวาย ทำลายทุ่งนา \nเป็นศัตรูตัวฉกาจของข้าเลยทีเดียว...
师傅老人家总喜欢念些诗词歌赋，什么之乎者也，着实拗口。\n好好说话不行吗？#PlayerName#你也是这么想的吧！,อาจารย์ชอบพูดถึงบทกวีต่างๆ อะไรของเขาก็ไม่รู้ ฟังแล้วก็ขัดหูดี \nพูดให้เข้าใจง่ายๆไม่ได้เหรอ? #PlayerName# ท่านก็คิดเหมือนข้าใช่ไหม!
我朋友大多是些飞禽走兽，山野猴子，\n#PlayerName#你算第一个初具人形的......这成语是这么用的吧？,สหายของข้าส่วนใหญ่เป็นพวกสัตว์ปีกและสัตว์เลื้อยคลาน ลิงป่า\n#PlayerName#ถือเป็นคนแรกที่มีรูปร่างคล้ายมนุษย์... ใช้สำนวนนี้ถูกไหมนะ?
在峨眉山上耍猴子，抓野兔，那可有趣的紧啊！\n#PlayerName#想试试不？比比咱们谁抓得多！,การเล่นกับลิงบนภูเขาเอ๋อเหมย จับกระต่ายป่า นี่มันสนุกมากเลย!\n#PlayerName#อยากลองไหม? แข่งกันดูว่าใครจับได้มากกว่ากัน!
我久居山林，只略懂些拳脚。\n#PlayerName#若是得空，定要多教我两招。,ข้าพำนักอยู่ในป่าเขามานาน รู้จักแค่หมัดและเท้าเล็กน้อย\nถ้า#PlayerName#มีเวลาว่าง ต้องสอนท่าไม้ตายให้ข้าสักสองสามท่า
这世间有比山上野果更好吃的东西？我可不信！\n除非#PlayerName#下次带来给我尝尝！,ในโลกนี้มีอะไรที่อร่อยกว่าผลไม้ป่าบนภูเขาอีกเหรอ? ข้าไม่เชื่อหรอก!\nถ้าไม่ใช่ว่า#PlayerName#จะเอามาให้ข้าชิมในครั้งหน้า!



"#PlayerName#和师傅老人家比，不知武功谁高谁低？
......感觉应该还是#PlayerName#厉害些。
毕竟师傅白胡子一大把了，老身子骨怕是挨不了几拳。","ถ้าเทียบพี่#PlayerName#กับท่านอาจารย์แล้ว ไม่รู้ว่าใครฝีมือเหนือกว่ากัน?
......รู้สึกว่าคงจะเป็นพี่#PlayerName#ที่เก่งกว่านะ
เพราะท่านอาจารย์หนวดขาวเต็มหน้าแล้ว ร่างกายแก่แล้วคงทนหมัดไม่ไหวหรอก"

#PlayerName#和师傅老人家比，不知武功谁高谁低？
......感觉应该还是#PlayerName#厉害些。
毕竟师傅白胡子一大把了，老身子骨怕是挨不了几拳。,ถ้าเทียบ#PlayerName#กับอาจารย์แล้ว ไม่รู้ว่าใครฝีมือเหนือกว่ากัน?
......รู้สึกว่าคง#PlayerName#ที่เก่งกว่านะ
เพราะอาจารย์หนวดขาวเต็มหน้าแล้ว ร่างกายแก่แล้วคงทนหมัดไม่ไหวหรอก

#PlayerName#和师傅老人家比，不知武功谁高谁低？
......感觉应该还是#PlayerName#厉害些。
毕竟师傅白胡子一大把了，老身子骨怕是挨不了几拳。,ถ้าเทียบ#PlayerName#กับอาจารย์แล้ว ไม่รู้ว่าใครฝีมือเหนือกว่ากัน? ......รู้สึกว่าคง#PlayerName#ที่เก่งกว่านะ เพราะอาจารย์หนวดขาวเต็มหน้าแล้ว ร่างกายแก่แล้วคงทนหมัดไม่ไหวหรอก

# 阎罗王
......我久居深山幽谷之中......像#PlayerName#弟这样能说上两句 话之人......亦是不多.....,ข้าพำนักอยู่ในหุบเขาลึกมานาน... ผู้ที่จะมาพูดคุยด้วยได้สักสองสามคำอย่าง#PlayerName#弟นี้... ก็หาได้ยากยิ่งนัก...
......#PlayerName#......可遇到什么趣事......与我说说.....,......#PlayerName#......เจอเรื่องสนุกๆอะไรบ้าง......เล่าให้ข้าฟังหน่อย......


......江湖纷乱......#PlayerName#多加小心......,ยุทธภพยุ่งเหยิง......#PlayerName#โปรดดระวังตัวให้มากขึ้น......
......#PlayerName#......我此招使得......可有纰漏？,......#PlayerName#......ท่านคิดว่าท่าไม้ตายนี้มีจุดอ่อนหรือไม่？......
......若深仇大恨之人罹患重病......又是否应当救其性命......,......ถ้าคนที่มีความแค้นลึกซึ้งป่วยหนัก......เราควรช่วยชีวิตเขาหรือไม่......
......能多愈几例顽疾......多救几条性命......此生便足矣......,......ถ้าช่วยรักษาโรคเรื้อรังได้หลายราย......ช่วยชีวิตได้หลายคน......ชีวิตนี้ก็เพียงพอแล้ว......
......#PlayerName#......可遇到什么趣事......与我说说......,......#PlayerName#......เจอเรื่องสนุกๆอะไรบ้าง......เล่าให้ข้าฟังหน่อย......
......#PlayerName#......近来可有受伤......,......#PlayerName#......ช่วงนี้ได้รับบาดเจ็บหรือไม่......
......我久居深山幽谷之中......像#PlayerName#这样能说上两句话之人......亦是不多......,...ข้าพำนักอยู่ในหุบเขาลึกมานาน... ผู้ที่จะมาพูดคุยด้วยได้สักสองสามคำอย่าง #PlayerName# นี้... ก็หาได้ยากยิ่งนัก...
......对于习武之道......我不过一知半解而已......,......สำหรับวิถีแห่งยุทธ......ข้าเข้าใจเพียงผิวเผินเท่านั้น......

古人医在心，心正药自真......今人医在手，手滥药不神。\n我愿天地炉，多衔扁鹊身......自然六合内，少闻贫病人。,คนโบราณรักษาด้วยใจ ใจตรงยาจึงศักดิ์สิทธิ์ \nคนปัจจุบันรักษาด้วยมือ มือหยาบยาจึงไร้พลัง \nข้าปรารถนาให้เตาแห่งฟ้าดิน ผลิตร่างเปี้ยนฉวีออกมามากมาย \nเพื่อที่ในหกทิศแห่งโลกนี้ จะได้แทบไม่ได้ยินเสียงคนจนและคนป่วยอีก
当今世人......越醉心武道......\n我等医者......越难得空闲......,คนในยุคนี้......ยิ่งหลงใหลในวิถีแห่งยุทธ......\nพวกเราเหล่าแพทย์......ยิ่งหายากเวลาว่าง......


# ทักทายศิษย์
......徒儿......近来可有受伤......,......ศิษย์......ช่วงนี้ได้รับบาดเจ็บหรือไม่......


# ============================================
# FACTION RELATION LEVELS
# ============================================
中立,เป็นกลาง
友好,เป็นมิตร
仇恨,อาฆาต
敌视,เป็นศัตรู
冷淡,เย็นชา
亲密,สนิทสนม

# ============================================
# FACTION RELATION TEMPLATE
# ============================================
FACTION_RELATION_TEMPLATE_TH,{FACTION} {RELATION}({VALUE})

#PlayerName#，爹爹与我不日便会前往<b>唐门</b>，举办联姻大典。你和郭勇锐若是能来替我加油打气，那便再好不过了！,#PlayerName# พ่อกับหนูจะเดินทางไปตระกูลถังเพื่อจัดพิธีแต่งงานเร็วๆ นี้ จะเป็นการดีมากถ้าคุณและกัวหย่งรุ่ยมาให้กำลังใจหนูด้วย!
#PlayerName#，爹爹与我不日便会前往{B}唐门{/B}，举办联姻大典。你和郭勇锐若是能来替我加油打气，那便再好不过了！,#PlayerName# พ่อกับหนูจะเดินทางไปตระกูลถังเพื่อจัดพิธีแต่งงานเร็วๆ นี้ จะเป็นการดีมากถ้าคุณและกัวหย่งรุ่ยมาให้กำลังใจหนูด้วย!
#PlayerName#兄，爹爹与我不日便会前往<b>唐门</b>，举办联姻大典。你和郭勇锐若是能来替我加油打气，那便再好不过了！,#PlayerName# พ่อกับหนูจะเดินทางไปตระกูลถังเพื่อจัดพิธีแต่งงานเร็วๆ นี้ จะเป็นการดีมากถ้าคุณและกัวหย่งรุ่ยมาให้กำลังใจหนูด้วย!
#PlayerName#兄，爹爹与我不日便会前往{B}唐门{/B}，举办联姻大典。你和郭勇锐若是能来替我加油打气，那便再好不过了！,#PlayerName# พ่อกับหนูจะเดินทางไปตระกูลถังเพื่อจัดพิธีแต่งงานเร็วๆ นี้ จะเป็นการดีมากถ้าคุณและกัวหย่งรุ่ยมาให้กำลังใจหนูด้วย!

爹爹与我不日便会前往<b>唐门</b>，举办联姻大典。你和郭勇锐若是能来替我加油打气，那便再好不过了！,พ่อกับหนูจะเดินทางไปตระกูลถังเพื่อจัดพิธีแต่งงานเร็วๆ นี้ จะเป็นการดีมากถ้าคุณและกัวหย่งรุ่ยมาให้กำลังใจหนูด้วย!



#============================================
# Interaction
#============================================
调息,ปรับลมหายใจ

# ============================================
# เนื้อเรื่อง
# ============================================
